isin,symbol
AT0000606306,RBI.VI
DE0006450000,LPK.DE
US1713401024,CHD
NL0012044747,SAE.DE
US29355A1079,ENPH
US5398301094,LMT
LU1250154413,ADJ.DE
US5494981039,LCID
US7134481081,PEP
CA40638K5070,HCANF
US9311421039,WMT
DE000A0JQ5U3,M5Z.DE
NO0012470089,False
CA67077M1086,NTR.TO
US9344231041,False
KYG3777B1032,0175.HK
US92343V1044,VZ
US7561091049,O
DE000A0JBPG2,PNE3.DE
DE0005800601,GFT.DE
GB0009252882,GSK.L
GB00B18S7B29,AFC.L
US58733R1023,MELI
CA13321L1085,CCO.TO
US2441991054,DE
US85859N1028,STEM
US9168961038,UEC
GB00BH4HKS39,VOD.L
US90184L1026,TWTR
DK0061539921,VWS.CO
US0605051046,BAC
DE000A1EWVY8,FYB.DE
FR0000120578,SAN.PA
US4370761029,HD
CA4196211078,HAVN.CN
ES0113211835,BBVA.MC
FR0000120073,AI.PA
US0126531013,ALB
DE0005470405,LXS.DE
DE000FTG1111,FTK.DE
CA77273P2017,RCK.V
DE000A11QW68,HRPK.DE
US3755581036,GILD
DE0005190037,BMW3.DE
US8334451098,SNOW
DE0006070006,HOT.DE
DE000A0D9PT0,MTX.DE
CA32076V1031,FR.TO
DK0060094928,ORSTED.CO
DE000A11Q133,MLHK.PA
US87918A1051,TDOC
DE0007461006,TPE.DE
US09857L1089,BKNG
BRVALEACNOR0,VALE3.SA
DE0008303504,TEG.DE
DE000KC01000,KCO.DE
US7475251036,QCOM
DE0007235301,SGL.DE
IT0003128367,ENEL.MI
FR0000124141,VIE.PA
DE0005313704,AFX.DE
CA05156X8843,ACB.TO
KYG694511059,PAX
US6516391066,NEM
DE0005493092,BVB.DE
US0304201033,AWK
ES0178430E18,TEF.MC
US46120E6023,ISRG
LU2360697374,FREY
FI0009000681,NOKIA.HE
DE0007664005,VOW.DE
US7960502018,SMSD.IL
US57636Q1040,MA
DE0005194062,BYW6.DE
US8740391003,TSM
AT0000969985,ATS.VI
US40434L1052,HPQ
DE0006766504,NDA.DE
GB00B1XZS820,AAL.L
DE000UNSE018,UN01.DE
US35952H6018,FCEL
US20825C1045,COP
DE0005772206,FIE.DE
US4404521001,HRL
US9078181081,UNP
US35671D8570,FCX
DE0005158703,BC8.DE
DE0006602006,G1A.DE
US83304A1060,SNAP
DE000A0HL8N9,2GB.F
DE0005810055,DB1.DE
DE0007297004,SZU.DE
DE000A2NB650,MUX.DE
US3703341046,GIS
CA09353K2083,BITE.CN
LU1296758029,CCAP.DE
DE000LEG1110,LEG.DE
CH0042615283,ROSE.SW
US0567521085,BIDUN.MX
US22788C1053,CRWD
US4612021034,INTU
NL0015000LC2,MYNZ
DE000A0JK2A8,AR4.DE
IE00BTN1Y115,MDT
DE000KGX8881,KGX.DE
US29786A1060,ETSY
DE000A2GS5D8,DMP.DE
DE000A3CNK42,YOU.F
US0090661010,ABNB
DE0007276503,YSN.DE
US76954A1034,RIVN
DE000SYM9999,SY1.DE
US88688T1007,TLRY
IT0003132476,ENI.MI
AT0000746409,VER.VI
NL0000009538,PHIA.AS
DE000VTSC017,VTSC.DE
US0846701086,BRK-A
DE000TLX1005,TLX.DE
US02005N1000,ALLY
DE000TRAT0N7,8TRA.DE
US1941621039,CL
US92556V1061,VTRS
DE000A1TNV91,ADE.DE
US42809H1077,HES
DE0007231326,SIX2.DE
FR0000131104,BNP.PA
US8636671013,SYK
US1491231015,CAT
CH0126881561,SREN.SW
US0311621009,AMGN
CH0418792922,SIKA.SW
GB00BN7CG237,AML.L
FR0014008VX5,FR0014008VX5_EUR.L
US0394831020,ADM
SE0015988019,NIBE-B.ST
NL0012817175,ALFEN.AS
DE000A1X3XX4,DIC.DE
DE0005407506,False
US3696043013,GE
DE0005408116,ARL.DE
AU000000BRN8,BRN.AX
US5324571083,LLY
AU0000114522,FFX.AX
CA32057N1042,FHYD.V
AU000000FMG4,FMG.AX
IT0003856405,LDO.MI
