isin,symbol
AU000000AVZ6,AVZ.AX
AU000000AWC3,AWC.AX
AU000000AWV3,AWV.AX
AU000000AX19,AX1.AX
AU000000AXE7,AXE.AX
AU000000AXT5,False
AU000000AZI3,AZI.AX
AU000000AZJ1,AZJ.AX
AU000000AZS2,AZS.AX
AU000000AZY0,AZY.AX
AU000000BAP9,BAP.AX
AU000000BAT1,BAT.AX
AU000000BBX1,BBX.AX
AU000000BCI0,BCI.AX
AU000000BCT7,BCT.AX
AU000000BEN6,BEN.AX
AU000000BFG7,BFG.AX
AU000000BGA8,BGA.AX
AU000000BHP4,BHP.AX
AU000000BID8,BID.AX
AU000000BIQ0,False
AU000000BIT4,BIT.AX
AU000000BKL7,BKL.AX
AU000000BKT0,BKT.AX
AU000000BKW4,BKW.AX
AU000000BKY0,BKY.AX
AU000000BLD2,BLD.AX
AU000000BLG5,BLG.AX
AU000000BLY8,BLY.AX
AU000000BMG3,BMG.AX
AU000000BMN9,BMN.AX
AU000000BNO5,BNO.AX
AU000000BNR8,BNR.AX
AU000000BOE4,BOE.AX
AU000000BOL9,BOL.AX
AU000000BOQ8,BOQ.AX
AU000000BOT2,BOT.AX
AU000000BPH4,BPH.AX
AU000000BPT9,BPT.AX
AU000000BRG2,BRG.AX
AU000000BRI8,BRI.AX
AU000000BRK4,BRK.AX
AU000000BRN8,BRN.AX
AU000000BRU3,BRU.AX
AU000000BSE5,BSE.AX
AU000000BSL0,BSL.AX
AU000000BSX5,BSX.AX
AU000000BTG8,BNIGF
AU000000BTH6,BTH.AX
AU000000BUB7,BUB.AX
AU000000BUD3,False
AU000000BUX1,BUX.AX
AU000000BUY9,BUY.AX
AU000000BVS9,BVS.AX
AU000000BWP3,BWP.AX
AU000000BWX7,BWX.AX
AU000000BXB1,BXB.AX
AU000000BYE3,BYE.AX
AU000000CAA9,CAA.AX
AU000000CAI2,CAI.AX
AU000000CAJ0,CAJ.AX
AU000000CAN2,CAN.AX
AU000000CAR3,CAR.AX
AU000000CAT9,CAT.AX
AU000000CAV5,CAV.AX
AU000000CAY9,False
AU000000CBA7,CBA.AX
AU000000CBD1,False
AU000000CCA5,CCA.AX
AU000000CCE7,CCE.AX
AU000000CCP3,CCP.AX
AU000000CCV1,CCV.AX
AU000000CCZ2,CCZ.AX
AU000000CDA3,CDA.AX
AU000000CDD7,CDD.AX
AU000000CDT3,CDT.AX
AU000000CE10,CE1.AX
AU000000CEL8,CEL.AX
AU000000CFO9,CFO.AX
AU000000CGF5,CGF.AX
AU000000CGO7,CGO.AX
AU000000CGS8,CGS.AX
AU000000CHC0,CHC.AX
AU000000CHK3,CHK.AX
AU000000CHN7,CHN.AX
AU000000CHZ1,CHZ.AX
AU000000CIA2,CIA.AX
AU000000CIM7,False
AU000000CIO3,CIO.AX
AU000000CIP0,CIP.AX
AU000000CKF7,CKF.AX
AU000000CLA6,CLA.AX
AU000000CLH1,CLH.AX
AU000000CLV2,CLV.AX
AU000000CLW0,CLW.AX
AU000000CLX8,CLX.AX
AU000000CLZ3,CLZ.AX
AU000000CM85,CM8.AX
AU000000CMM9,AU000000CMM9.SG
AU000000CMW8,CMW.AX
AU000000CNI5,CNI.AX
AU000000CNJ3,CNJ.AX
AU000000CNP0,False
AU000000CNW6,CNW.AX
AU000000CNX4,False
AU000000COB8,COB.AX
AU000000COE2,COE.AX
AU000000COH5,COH.AX
AU000000COI3,COI.AX
AU000000COY0,COY.AX
AU000000CPH2,CPH.AX
AU000000CPU5,CPU.AX
AU000000CQR9,CQR.AX
AU000000CRB1,CRB.AX
AU000000CRL0,False
AU000000CSL8,CSL.AX
AU000000CSR5,CSR.AX
AU000000CSS3,CSS.AX
AU000000CT13,CT1.AX
AU000000CTD3,CTD.AX
AU000000CTM4,CTM.AX
AU000000CTO0,CTO.AX
AU000000CTP7,CTP.AX
AU000000CUL4,CUL.AX
AU000000CUP5,CUP.AX
AU000000CUV3,CUV.AX
AU000000CVN8,CVN.AX
AU000000CVV1,CVV.AX
AU000000CVW9,CVW.AX
AU000000CWN6,CWN.AX
AU000000CWY3,CWY.AX
AU000000CXM6,CXM.AX
AU000000CXO2,CXO.AX
AU000000CXU9,CXU.AX
AU000000CXX3,False
AU000000CXZ8,CXZ.AX
AU000000CYC5,CYC.AX
AU000000CYP7,CYP.AX
AU000000CZR0,CZR.AX
AU000000DAF6,DAF.AX
AU000000DCC9,DCC.AX
AU000000DCN6,DCN.AX
AU000000DDD5,DDD.AX
AU000000DDR5,DDR.AX
AU000000DDT1,DDT.AX
AU000000DEG6,DEG.AX
AU000000DEM4,DEM.AX
AU000000DEV5,DEV.AX
AU000000DGO5,DGO.AX
AU000000DGR8,DGR.AX
AU000000DGX6,False
AU000000DHG9,DHG.AX
AU000000DKM1,DKM.AX
AU000000DLC0,False
AU000000DMA2,False
AU000000DMG9,False
AU000000DMP0,DMP.AX
AU000000DNK9,DNK.AX
AU000000DNX2,False
AU000000DOW2,DOW.AX
AU000000DPL2,False
AU000000DRA1,1712.HK
AU000000DRO2,DRO.AX
AU000000DSE1,DSE.AX
AU000000DTL4,DTL.AX
AU000000DTZ4,DTZ.AX
AU000000DUB3,DUB.AX
AU000000DXS1,DXS.AX
AU000000DYL4,DYL.AX
AU000000EAL2,False
AU000000ECX3,ECX.AX
AU000000EDE1,EDE.AX
AU000000EEG4,EEG.AX
AU000000EER1,False
AU000000EFE6,EFE.AX
AU000000EGN5,EGN.AX
AU000000EHE2,EHE.AX
AU000000EHL7,EHL.AX
AU000000ELD6,ELD.AX
AU000000ELK1,False
AU000000ELO3,ELO.AX
AU000000ELS4,ELS.AX
AU000000ELT2,ELT.AX
AU000000EME2,EME.AX
AU000000EMH5,EMH.AX
AU000000EML7,EML.AX
AU000000ENB6,False
AU000000ENR2,ENR.AX
AU000000ENT8,ENT.AX
